"","letter","alpha","lambda","prc.ok","prc.ko"
"188","A",0.75,0.00015964800379063,84.1768889805175,15.8231110194825
"189","A",0.75,0.000132291164541783,84.1734529086348,15.8265470913652
"190","A",0.75,0.000109622117410078,84.163144692987,15.836855307013
"191","A",0.75,9.08375753368891e-05,84.1734529086348,15.8265470913652
"192","A",0.75,7.52719003065561e-05,84.1665807648696,15.8334192351304
"193","A",1,0.321215271370443,61.2720338109473,38.7279661890527
"194","A",1,0.266172713151674,61.2720338109473,38.7279661890527
"195","A",1,0.220562095084258,61.2720338109473,38.7279661890527
"196","A",1,0.182767186057258,64.7012335498059,35.2987664501941
"197","A",1,0.151448707841334,79.8508744802941,20.1491255197059
"198","A",1,0.125496877210902,82.0877572758822,17.9122427241178
"199","A",1,0.103992080316646,82.7887159399375,17.2112840600625
"200","A",1,0.0861722857885125,82.8093323712332,17.1906676287668
"201","A",1,0.0714060418390193,83.249149572209,16.750850427791
"202","A",1,0.0591701005080626,83.249149572209,16.750850427791
"203","A",1,0.0490308761550914,83.2869463629179,16.7130536370821
"204","A",1,0.0406290811726495,83.5137271071711,16.4862728928289
"205","A",1,0.0336669944814424,83.5240353228189,16.475964677181
"206","A",1,0.0278979116607858,83.6168092636498,16.3831907363502
"207","A",1,0.0231174028754485,83.6717864137718,16.3282135862282
"208","A",1,0.0191560688199105,83.6855307013023,16.3144692986977
"209","A",1,0.0158735379839258,83.7027110607154,16.2972889392846
"210","A",1,0.0131534925300145,83.7370717795416,16.2629282204584
"211","A",1,0.0108995465227946,83.7783046421331,16.2216953578669
"212","A",1,0.00903183045350712,83.8023571453115,16.1976428546885
"213","A",1,0.00748416103094752,83.8023571453115,16.1976428546885
"214","A",1,0.00620169594917533,83.9054393017902,16.0945606982098
"215","A",1,0.00513899052772631,83.9363639487338,16.0636360512662
"216","A",1,0.00425838736056909,83.9844689550905,16.0155310449095
"217","A",1,0.00352868191035131,84.053190392743,15.946809607257
"218","A",1,0.00292401676271567,84.1012953990998,15.8987046009003
"219","A",1,0.00242296535813029,84.1219118303955,15.8780881696045
"220","A",1,0.00200777273289193,84.1390921898086,15.8609078101914
"221","A",1,0.0016637263646456,84.1184757585129,15.8815242414871
"222","A",1,0.00137863482807137,84.135656117926,15.864343882074
"223","A",1,0.0011423957866871,84.1425282616912,15.8574717383088
"224","A",1,0.000946638012377909,84.2112496993437,15.7887503006563
"225","A",1,0.000784424747466478,84.2146857712263,15.7853142287737
"226","A",1,0.000650007897836458,84.2112496993437,15.7887503006563
"227","A",1,0.000538624346840647,84.2112496993437,15.7887503006563
"228","A",1,0.000446327172293077,84.2112496993437,15.7887503006563
"229","A",1,0.000369845785649326,84.2009414836958,15.7990585163042
"230","A",1,0.000306470037349077,84.190633268048,15.809366731952
"231","A",1,0.000253954181545817,84.2009414836958,15.7990585163042
"232","A",1,0.000210437297174168,84.2009414836958,15.7990585163042
"233","A",1,0.000174377345442448,84.1871971961653,15.8128028038347
"234","A",1,0.000144496527050469,84.1940693399306,15.8059306600694
"235","A",1,0.000119736002842973,84.1768889805175,15.8231110194825
"236","A",1,9.92183734063373e-05,84.1768889805175,15.8231110194825
"237","A",1,8.22165880575588e-05,84.1700168367522,15.8299831632478
"238","A",1,6.81281815026669e-05,84.1700168367522,15.8299831632478
"239","B",0,336.851002129416,52.0771054530461,47.9228945469539
"240","B",0,279.129148443398,52.0771054530461,47.9228945469539
"241","B",0,231.298351550704,52.0771054530461,47.9228945469539
"242","B",0,191.663707385693,52.0771054530461,47.9228945469539
"243","B",0,158.82074594369,52.0771054530461,47.9228945469539
"244","B",0,131.605663305628,52.0771054530461,47.9228945469539
"245","B",0,109.054081764956,52.0771054530461,47.9228945469539
"246","B",0,90.3668767048346,52.0771054530461,47.9228945469539
"247","B",0,74.8818592869115,52.0771054530461,47.9228945469539
"248","B",0,62.0503115160207,52.0771054530461,47.9228945469539
"249","B",0,51.4175421911323,52.0771054530461,47.9228945469539
"250","B",0,42.6067747346326,52.0771054530461,47.9228945469539
"251","B",0,35.3057959585009,52.0771054530461,47.9228945469539
"252","B",0,29.2558926608939,52.0908497405766,47.9091502594234
"253","B",0,24.2426840168621,53.6748788784661,46.3251211215339
"254","B",0,20.0885249051726,59.7842146857712,40.2157853142288
"255","B",0,16.6462109799826,65.2956739854998,34.7043260145002
"256","B",0,13.7937624239769,68.1854104387864,31.8145895612136
"257","B",0,11.4301015431029,70.8689825791156,29.1310174208844
