"","X1","X2","X3","MeanDecreaseAccuracy","MeanDecreaseGini"
"shopping_pt_3_E",0.0012722702344962,0.000689470087244207,0.000344373457985279,0.000542872277493973,18.6650171191785
"shopping_pt_3_F",0.00275737404457279,0.00203025479058852,0.000728853501181417,0.00128346954891048,52.4701407314997
"shopping_pt_3_G",0.00404469647227811,0.00216050255085463,0.0010714353251923,0.00170246022795663,62.3369565041492
"shopping_pt_min_cost_A",0.0048265568669444,0.00239701383607666,0.00153555130403476,0.00215561877261081,57.0674002093231
"shopping_pt_min_cost_B",0.000512105887839239,0.000445564509743589,0.000146290867025407,0.000260590028891089,17.4037997377742
"shopping_pt_min_cost_C",0.044471475066613,0.0304096641396613,0.00612618558008119,0.0165577901085103,798.319793294085
"shopping_pt_min_cost_D",0.190450041814836,0.104708216894579,0.0411813325532589,0.0748153696860266,5171.17294038258
"shopping_pt_min_cost_E",0.00108269834622373,0.000861078568113928,0.000272407174955896,0.000509762792487609,18.8809242111886
"shopping_pt_min_cost_F",0.00244771653001557,0.00209391033613026,0.000594024880269488,0.00117031645407328,49.1004606141616
"shopping_pt_min_cost_G",0.00474028349488281,0.00271969058546749,0.00107936908264085,0.00192370731534606,64.0704803146065
"A0_count",0.00554787340679005,0.00340612866703419,0.00163660496033788,0.00254007582357976,129.623681749102
"A1_count",0.00889308858700716,0.00794808524817302,0.00286732595453686,0.00478643269282048,166.985561668993
"A2_count",0.00440962707511289,0.00363219306687745,0.000734443494626419,0.00186234137391992,129.610948045248
"B0_count",0.0058773910250226,0.00579880953894266,0.00218509487185893,0.00347384347587842,164.839305722932
"B1_count",0.00510870314507032,0.00512817722512859,0.00173799691513947,0.00293337150166121,159.360946079985
"C1_count",0.0282648409520659,0.00745196912618187,0.00196599071191442,0.00661659899186229,191.826642398576
"C2_count",0.00761540020134743,0.00705553345794215,0.00191517147371361,0.0038091004359446,161.832661109504
"C3_count",0.0130116180095276,0.0148147383106623,0.00455005844272821,0.00794127972618862,250.667067226581
"C4_count",0.0067337968175431,0.00558818073856584,0.00195048473797581,0.0033858515943043,172.473395040877
"D1_count",0.221442710761526,0.00351251834357274,0.00631765748811507,0.0336971415595385,879.065795585784
"D2_count",0.0134271264527804,0.0922917145083662,0.00715254288427436,0.0269956278576181,721.370468916137
"D3_count",0.0372602960892441,0.033052135179417,0.016820699746925,0.023113193701945,530.512521227684
"E0_count",0.00683289976317302,0.00649446380725449,0.0026114030031053,0.00402751932563962,162.691481531695
"E1_count",0.00815066663672097,0.00611227434067595,0.00251418205532904,0.00405094868868434,165.222521119457
"F0_count",0.00647878792037809,0.00556491070333636,0.00168419760334831,0.00317723858119204,140.866104071241
"F1_count",0.00462451127989164,0.00372252202008667,0.00135269845495379,0.00230925031047622,133.708594184499
"F2_count",0.00676829579210528,0.00657261279765141,0.00215219347666801,0.00374002106706257,143.546744808346
"F3_count",0.00134740061467888,0.00188631287628893,0.000397685892177572,0.000854511798081961,90.1171907941378
"G1_count",0.00340025546178315,0.00334692688193026,0.00110315119177605,0.00190296523422393,117.378472947543
"G2_count",0.00748909641119713,0.00608994696518501,0.00171794636198323,0.00344651769861524,158.447720681278
"G3_count",0.0103069700993175,0.00647509589496334,0.00176930238388889,0.00393371003288877,156.555181887662
"G4_count",0.00150603403318809,0.00237828557479456,0.000567183155183734,0.00109477859254616,98.406715338387
"car_age_cut",0.00268351317845094,0.000871220717299351,0.000529239101984049,0.000886609792508485,103.463464672213
"age_youngest_cut",0.00127751720908482,0.00126383302841975,0.000417242940721218,0.000718945382792694,144.037927394272
"age_oldest_cut",0.0012314499360996,0.00123178596011387,0.000498246650022805,0.000757938382526872,143.166519808585
"duration_previous_cut",0.00135845363116442,0.000306482490436633,0.000116223419607438,0.000320448969780285,155.993550377081
"last_cost_cut",0.0034342006221929,0.0029498638127373,0.00212550342719423,0.00247874961306725,228.744083920214
