"","X1","X2","X3","X4","MeanDecreaseAccuracy","MeanDecreaseGini"
"shopping_pt_2_E",0.000569293832333414,0.00120774990802606,7.02735442487164e-05,0.0016652474548586,0.00075442286339388,24.6763042778159
"shopping_pt_2_F",0.00366450315189243,0.00451544137075582,0.00348765994050649,0.00449236923430151,0.0040157079676286,92.4390206419512
"shopping_pt_2_G",0.0306514154981044,0.029973622468561,0.0265525980960219,0.0674635485408977,0.0322150762686114,1989.98480961928
"shopping_pt_3_A",0.0012952849302702,0.0034981837501101,0.0013709028542482,0.00295404323545528,0.00231997322998917,50.2166233489223
"shopping_pt_3_B",0.000462491284187706,0.000520580597067845,0.000307370869964746,0.000116886707094256,0.000405741545987132,24.2944352800054
"shopping_pt_3_C",0.0039892733564353,0.00206191890419013,0.00115183701432638,0.00278528427034609,0.00224550924065865,81.1928091460001
"shopping_pt_3_D",0.00153359817317372,0.00239828467866613,0.0010684847326551,0.00455422228784368,0.00198121129246811,55.1178896679104
"shopping_pt_3_E",0.000524698002726711,0.00163739368893716,0.000147492344259933,0.00123791721626786,0.000896161954517513,26.6652388857209
"shopping_pt_3_F",0.00402790422429296,0.00669752621139877,0.00304044615236017,0.00548783049192497,0.0048807692202739,100.794310378265
"shopping_pt_3_G",0.0883822199788089,0.0803104757799692,0.0603853608573744,0.115854804134626,0.0787268459064458,3143.65661901335
"shopping_pt_min_cost_A",0.0014729181886868,0.00464107140217881,0.00145356713340215,0.00307143180106437,0.0028412190949016,54.0717850822283
"shopping_pt_min_cost_B",0.000369742795556555,0.000659623341187096,0.000358741196807861,0.000109200031234037,0.000456367916258948,23.5411512642573
"shopping_pt_min_cost_C",0.00322014462113117,0.00202583840441151,0.00132157730944996,0.00565824062244433,0.00236784940436565,85.3092122506612
"shopping_pt_min_cost_D",0.00136453329628489,0.00273031848205151,0.000788707494835852,0.00268453003836108,0.00182787910438411,51.4628111305894
"shopping_pt_min_cost_E",0.00142868513288778,0.00198891363022267,0.000370725349845358,0.00199306880432968,0.00136031517763495,28.9422046501906
"shopping_pt_min_cost_F",0.0054258962165576,0.00779248926172003,0.00268104450222755,0.00817567366162409,0.00571284306929676,123.01662362228
"shopping_pt_min_cost_G",0.104485426224799,0.0864443716563099,0.0861570819747998,0.1050975887478,0.0916892843944108,3279.91119977521
"A0_count",0.00852841748947235,0.00728907980446154,0.00421471918229585,0.00424459115763654,0.00631824362763703,208.722867195833
"A1_count",0.00945180008415509,0.00987816774024206,0.00699117835892337,0.00532388800557399,0.00848529433897009,242.824419400126
"A2_count",0.00332313282673589,0.00496513347564324,0.00184398843445766,0.00256237134790205,0.00343078968270712,184.827223474778
"B0_count",0.00574058311022748,0.00616588737738476,0.00501328759901058,0.00189674032574898,0.00535020281663626,233.766466826439
"B1_count",0.00559261485753713,0.00619125185772993,0.00493139247630244,0.00254295084069012,0.00535634750490909,228.914728939599
"C1_count",0.00614550822539001,0.00655734513593718,0.00671423553808495,0.00332879443111345,0.0062519745851918,229.83408153245
"C2_count",0.0036746136607912,0.00463421798444837,0.00358663435010917,0.00267857369705574,0.00393399909031263,198.477663107
"C3_count",0.00518000485334743,0.00728283891373195,0.00518045189114281,0.00258072428332109,0.00577458985343866,215.793561490826
"C4_count",0.00318552385462483,0.00322907151646744,0.00205611274727811,0.00100140087214007,0.00265963810307979,160.66809345972
"D1_count",0.00132428562388269,0.00315350515988517,0.00236548576747068,0.00154722696908239,0.00238546079440943,159.552253789752
"D2_count",0.00238762800017766,0.00299343557440676,0.00183733386933205,0.00198594674313183,0.00241584274080582,186.446197057966
"D3_count",0.00647037974302715,0.00860979792588481,0.00761625938173967,0.00276159614345191,0.00734901993080888,241.456689988234
"E0_count",0.00857683748368475,0.00910951880129988,0.00472218521142803,0.0042905937382994,0.00720439137428143,229.562621137349
"E1_count",0.00764108747826344,0.00901529179609055,0.00533415762661105,0.00427843489690482,0.00716437099035474,231.287380284725
"F0_count",0.00984701946418279,0.0100074887279785,0.00776354864371498,0.00914664862897388,0.00919245594381445,266.505424883336
"F1_count",0.00559385316962097,0.00764356753981328,0.00456941904245299,0.00474707208240314,0.00600245218053276,212.796319256865
"F2_count",0.00750193259249663,0.0122750554068223,0.00952247839236955,0.00549516029983288,0.00982803236439042,250.7132889664
"F3_count",0.00180335481144202,0.00303947315550671,0.00131244446486862,0.00204808318408276,0.00215057930461948,121.629085112588
"G1_count",0.182444853259435,0.0181081723591436,0.0219302589512061,0.0183584678923639,0.0536670024488671,1228.2382744265
"G2_count",0.0144087896423914,0.115819795665629,0.0239125861102306,0.0152910383372423,0.0569950592791789,1033.41395072715
"G3_count",0.0364592811104624,0.0407741182336927,0.0988739880681227,0.00669680839832703,0.0553417101248347,1074.57742117614
"G4_count",0.00863876595618916,0.0109847948704279,0.00225922881700177,0.102576493065789,0.015549175890853,424.097088397016
"car_age_cut",0.00077169344924133,0.000827059409092626,0.000535226925067825,0.00160696328665218,0.000788930629376175,132.107960371106
"age_youngest_cut",0.00243932990634025,0.00140902451047299,0.000826072088652422,0.00188057675445748,0.00148171891445881,209.440514730504
"age_oldest_cut",0.00298816586647753,0.00115578526666283,0.000942862123953226,0.00206575983137659,0.00154644500782509,200.15752688332
"duration_previous_cut",0.00214747604603087,0.000269209653509335,0.000118183316160738,0.00168572609979545,0.00073580044236055,240.115447911239
"last_cost_cut",0.00335385037608327,0.0034072046670051,0.00276782250456317,0.00227155632077734,0.00309616570236428,321.658344074244
