"","X1","X2","X3","X4","MeanDecreaseAccuracy","MeanDecreaseGini"
"last_F",0.00319190036015458,0.00170147718438089,0.00201278699501959,0.00127034215208514,0.00222679634272329,54.8719183997926
"last_G",0.00139659053705031,0.00109545656425902,0.00105140269831711,0.000804773362267315,0.00113977738245927,53.1468375322808
"shopping_pt_2_A",0.000721652771230654,0.00178049695527086,0.0025006346045489,0.00249321401995667,0.00181912483100869,37.2923803421971
"shopping_pt_2_B",0.000273739907221921,1.06685121082895e-06,0.000292961012357201,0.000166424038280454,0.000212479462062974,15.7684213727166
"shopping_pt_2_C",0.0260027866927407,0.0370443825340237,0.0306831959738739,0.0612472652886537,0.0336919068630375,2601.50731392789
"shopping_pt_2_D",0.00460128115136207,0.00942292093052317,0.00647030876031342,0.011508920307907,0.00704059590639064,283.695427078449
"shopping_pt_2_E",0.000635309549623568,0.000629521224652889,0.000528007544656112,0.000802897254116249,0.000608251818711175,17.5710744513725
"shopping_pt_2_F",0.00146141821688558,0.00148824717052936,0.00143809427399135,0.00112876986361873,0.00142548594066295,47.731097787674
"shopping_pt_2_G",0.00124028894292328,0.00119563980160104,0.00106272377006934,0.000644206619525438,0.00110192690542769,55.7587049342893
"shopping_pt_3_A",0.0034688406852572,0.00319239639547709,0.0032876332903324,0.0047653449478213,0.00346769831329706,64.202962464095
"shopping_pt_3_B",0.000310937845044938,0.00011104513847787,0.000276833855582888,6.94575132395322e-05,0.000231790423829843,16.2585062458157
"shopping_pt_3_C",0.122274775591625,0.114590174785094,0.102202849563672,0.182405636961096,0.118832701025909,4179.687223123
"shopping_pt_3_D",0.0137388606953483,0.0194652883684829,0.00827027810541543,0.0188116604733748,0.013308482221139,510.932561903604
"shopping_pt_3_E",0.00139033522468058,0.00117141049471041,0.000904660083722711,0.000792749783375311,0.00109568458276778,22.7038881393354
"shopping_pt_3_F",0.00139644621091696,0.00167967888611413,0.00197957772293185,0.00184201911177584,0.00172871535550393,48.4333821982472
"shopping_pt_3_G",0.00144117053157609,0.00138239966711957,0.00123151293666086,0.000513640104223037,0.00125606457093392,52.1125281317459
"shopping_pt_min_cost_A",0.00545957592280825,0.0038849416163247,0.00437776374110324,0.00548971358684329,0.00470793305650805,62.3035648715441
"shopping_pt_min_cost_B",0.000367989350504361,0.000197356495908431,0.000345764439976049,0.000134348499881053,0.000300690869494933,15.8550941315736
"shopping_pt_min_cost_C",0.112173492999203,0.117681736998631,0.0988795822542367,0.13540209560667,0.110463161666944,3160.20353184085
"shopping_pt_min_cost_D",0.010296620763382,0.0164848602570688,0.0127754104828038,0.0211394527528673,0.0136536488427433,410.123547495023
"shopping_pt_min_cost_E",0.00136331360090354,0.000977687549194806,0.00078396080716075,0.00147606145439932,0.00106506628641228,21.2983933370088
"shopping_pt_min_cost_F",0.00239275384712937,0.00177792984157091,0.00228459986385433,0.00201374172442109,0.00218762719271165,51.5169635433651
"shopping_pt_min_cost_G",0.00189227352251894,0.00135508575469061,0.00121541890402227,0.000997993602742909,0.00142369572081714,53.1221822299474
"A0_count",0.00328929239719591,0.00249234505958009,0.00306527908016622,0.00169876658453269,0.00287749273348561,114.017150970898
"A1_count",0.00408179467352479,0.00530076446547725,0.00489588331013163,0.00271936490936517,0.00452214469339638,138.740141686614
"A2_count",0.00171076506737393,0.00209660030704014,0.00208982451413801,0.00112889412951971,0.00188143092811038,113.306121133479
"B0_count",0.00348974324531416,0.00278612306582944,0.00465730599236738,0.00245737640017539,0.00369853168968502,137.7459760979
"B1_count",0.00240647355863796,0.00374182192426989,0.00366860360608653,0.0019322793776936,0.00313514077028591,135.116615589805
